2011-08-23 05:21:29 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2011-08-23 05:21:29 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2011-08-23 05:21:29 install libc-bin <none> 2.13-0ubuntu13
2011-08-23 05:21:29 status half-installed libc-bin 2.13-0ubuntu13
2011-08-23 05:21:29 status unpacked libc-bin 2.13-0ubuntu13
2011-08-23 05:21:29 status unpacked libc-bin 2.13-0ubuntu13
2011-08-23 05:21:29 upgrade libc6 2.13-0ubuntu13 2.13-0ubuntu13
2011-08-23 05:21:29 status half-configured libc6 2.13-0ubuntu13
2011-08-23 05:21:29 status unpacked libc6 2.13-0ubuntu13
2011-08-23 05:21:29 status half-installed libc6 2.13-0ubuntu13
2011-08-23 05:21:32 status half-installed libc6 2.13-0ubuntu13
2011-08-23 05:21:32 status unpacked libc6 2.13-0ubuntu13
2011-08-23 05:21:32 status unpacked libc6 2.13-0ubuntu13
2011-08-23 05:21:32 install libcomerr2 <none> 1.41.14-1ubuntu3
2011-08-23 05:21:32 status half-installed libcomerr2 1.41.14-1ubuntu3
2011-08-23 05:21:32 status unpacked libcomerr2 1.41.14-1ubuntu3
2011-08-23 05:21:32 status unpacked libcomerr2 1.41.14-1ubuntu3
2011-08-23 05:21:32 install libdb4.8 <none> 4.8.30-5ubuntu2
2011-08-23 05:21:32 status half-installed libdb4.8 4.8.30-5ubuntu2
2011-08-23 05:21:32 status unpacked libdb4.8 4.8.30-5ubuntu2
2011-08-23 05:21:32 status unpacked libdb4.8 4.8.30-5ubuntu2
2011-08-23 05:21:32 install libdbus-1-3 <none> 1.4.6-1ubuntu6
2011-08-23 05:21:32 status half-installed libdbus-1-3 1.4.6-1ubuntu6
2011-08-23 05:21:32 status unpacked libdbus-1-3 1.4.6-1ubuntu6
2011-08-23 05:21:32 status unpacked libdbus-1-3 1.4.6-1ubuntu6
2011-08-23 05:21:33 install libdrm-intel1 <none> 2.4.23-1ubuntu6
2011-08-23 05:21:33 status half-installed libdrm-intel1 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm-intel1 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm-intel1 2.4.23-1ubuntu6
2011-08-23 05:21:33 install libdrm-nouveau1a <none> 2.4.23-1ubuntu6
2011-08-23 05:21:33 status half-installed libdrm-nouveau1a 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm-nouveau1a 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm-nouveau1a 2.4.23-1ubuntu6
2011-08-23 05:21:33 install libdrm-radeon1 <none> 2.4.23-1ubuntu6
2011-08-23 05:21:33 status half-installed libdrm-radeon1 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm-radeon1 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm-radeon1 2.4.23-1ubuntu6
2011-08-23 05:21:33 install libdrm2 <none> 2.4.23-1ubuntu6
2011-08-23 05:21:33 status half-installed libdrm2 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm2 2.4.23-1ubuntu6
2011-08-23 05:21:33 status unpacked libdrm2 2.4.23-1ubuntu6
2011-08-23 05:21:33 install libgcc1 <none> 1:4.5.2-8ubuntu4
2011-08-23 05:21:33 status half-installed libgcc1 1:4.5.2-8ubuntu4
2011-08-23 05:21:33 status unpacked libgcc1 1:4.5.2-8ubuntu4
2011-08-23 05:21:33 status unpacked libgcc1 1:4.5.2-8ubuntu4
2011-08-23 05:21:33 install libglib2.0-0 <none> 2.28.6-0ubuntu1
2011-08-23 05:21:33 status half-installed libglib2.0-0 2.28.6-0ubuntu1
2011-08-23 05:21:34 status unpacked libglib2.0-0 2.28.6-0ubuntu1
2011-08-23 05:21:34 status unpacked libglib2.0-0 2.28.6-0ubuntu1
2011-08-23 05:21:34 install libklibc <none> 1.5.20-1ubuntu6
2011-08-23 05:21:34 status half-installed libklibc 1.5.20-1ubuntu6
2011-08-23 05:21:34 status unpacked libklibc 1.5.20-1ubuntu6
2011-08-23 05:21:34 status unpacked libklibc 1.5.20-1ubuntu6
2011-08-23 05:21:34 install liblocale-gettext-perl <none> 1.05-6
2011-08-23 05:21:34 status half-installed liblocale-gettext-perl 1.05-6
2011-08-23 05:21:34 status unpacked liblocale-gettext-perl 1.05-6
2011-08-23 05:21:34 status unpacked liblocale-gettext-perl 1.05-6
2011-08-23 05:21:34 install liblzma2 <none> 5.0.0-2
2011-08-23 05:21:34 status half-installed liblzma2 5.0.0-2
2011-08-23 05:21:34 status unpacked liblzma2 5.0.0-2
2011-08-23 05:21:34 status unpacked liblzma2 5.0.0-2
2011-08-23 05:21:34 install libncurses5 <none> 5.7+20101128-1
2011-08-23 05:21:34 status half-installed libncurses5 5.7+20101128-1
2011-08-23 05:21:34 status unpacked libncurses5 5.7+20101128-1
2011-08-23 05:21:34 status unpacked libncurses5 5.7+20101128-1
2011-08-23 05:21:34 install libncursesw5 <none> 5.7+20101128-1
2011-08-23 05:21:34 status half-installed libncursesw5 5.7+20101128-1
