2023-10-07 19:07:30 status half-installed libc-bin:armhf 2.36-9+deb12u2
2023-10-07 19:07:30 status unpacked libc-bin:armhf 2.36-9+deb12u2
2023-10-07 19:07:30 upgrade libc6:armhf 2.36-9+deb12u2 2.36-9+deb12u2
2023-10-07 19:07:30 status half-configured libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:30 status unpacked libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:30 status half-installed libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:31 status unpacked libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:31 install libcap-ng0:armhf <none> 0.8.3-1+b3
2023-10-07 19:07:31 status half-installed libcap-ng0:armhf 0.8.3-1+b3
2023-10-07 19:07:31 status unpacked libcap-ng0:armhf 0.8.3-1+b3
2023-10-07 19:07:31 install libcap2:armhf <none> 1:2.66-4
2023-10-07 19:07:31 status half-installed libcap2:armhf 1:2.66-4
2023-10-07 19:07:31 status unpacked libcap2:armhf 1:2.66-4
2023-10-07 19:07:31 install libcom-err2:armhf <none> 1.47.0-2
2023-10-07 19:07:31 status half-installed libcom-err2:armhf 1.47.0-2
2023-10-07 19:07:31 status unpacked libcom-err2:armhf 1.47.0-2
2023-10-07 19:07:31 install libcrypt1:armhf <none> 1:4.4.33-2
2023-10-07 19:07:31 status half-installed libcrypt1:armhf 1:4.4.33-2
2023-10-07 19:07:31 status unpacked libcrypt1:armhf 1:4.4.33-2
2023-10-07 19:07:31 install libdb5.3:armhf <none> 5.3.28+dfsg2-1
2023-10-07 19:07:31 status half-installed libdb5.3:armhf 5.3.28+dfsg2-1
2023-10-07 19:07:31 status unpacked libdb5.3:armhf 5.3.28+dfsg2-1
2023-10-07 19:07:31 install libdebconfclient0:armhf <none> 0.270
2023-10-07 19:07:31 status half-installed libdebconfclient0:armhf 0.270
2023-10-07 19:07:31 status unpacked libdebconfclient0:armhf 0.270
2023-10-07 19:07:31 install libext2fs2:armhf <none> 1.47.0-2
2023-10-07 19:07:31 status half-installed libext2fs2:armhf 1.47.0-2
2023-10-07 19:07:31 status unpacked libext2fs2:armhf 1.47.0-2
2023-10-07 19:07:31 install libffi8:armhf <none> 3.4.4-1
2023-10-07 19:07:31 status half-installed libffi8:armhf 3.4.4-1
2023-10-07 19:07:31 status unpacked libffi8:armhf 3.4.4-1
2023-10-07 19:07:31 install libgcc-s1:armhf <none> 12.2.0-14
2023-10-07 19:07:31 status half-installed libgcc-s1:armhf 12.2.0-14
2023-10-07 19:07:31 status unpacked libgcc-s1:armhf 12.2.0-14
2023-10-07 19:07:31 install libgcrypt20:armhf <none> 1.10.1-3
2023-10-07 19:07:31 status half-installed libgcrypt20:armhf 1.10.1-3
2023-10-07 19:07:31 status unpacked libgcrypt20:armhf 1.10.1-3
2023-10-07 19:07:32 install libgmp10:armhf <none> 2:6.2.1+dfsg1-1.1
2023-10-07 19:07:32 status half-installed libgmp10:armhf 2:6.2.1+dfsg1-1.1
2023-10-07 19:07:32 status unpacked libgmp10:armhf 2:6.2.1+dfsg1-1.1
2023-10-07 19:07:32 install libgnutls30:armhf <none> 3.7.9-2
2023-10-07 19:07:32 status half-installed libgnutls30:armhf 3.7.9-2
2023-10-07 19:07:32 status unpacked libgnutls30:armhf 3.7.9-2
2023-10-07 19:07:32 install libgpg-error0:armhf <none> 1.46-1
2023-10-07 19:07:32 status half-installed libgpg-error0:armhf 1.46-1
2023-10-07 19:07:32 status unpacked libgpg-error0:armhf 1.46-1
2023-10-07 19:07:32 install libhogweed6:armhf <none> 3.8.1-2
2023-10-07 19:07:32 status half-installed libhogweed6:armhf 3.8.1-2
2023-10-07 19:07:32 status unpacked libhogweed6:armhf 3.8.1-2
2023-10-07 19:07:32 install libidn2-0:armhf <none> 2.3.3-1+b1
2023-10-07 19:07:32 status half-installed libidn2-0:armhf 2.3.3-1+b1
2023-10-07 19:07:32 status unpacked libidn2-0:armhf 2.3.3-1+b1
2023-10-07 19:07:32 install liblz4-1:armhf <none> 1.9.4-1
2023-10-07 19:07:32 status half-installed liblz4-1:armhf 1.9.4-1
2023-10-07 19:07:32 status unpacked liblz4-1:armhf 1.9.4-1
2023-10-07 19:07:32 install liblzma5:armhf <none> 5.4.1-0.2
2023-10-07 19:07:32 status half-installed liblzma5:armhf 5.4.1-0.2
2023-10-07 19:07:32 status unpacked liblzma5:armhf 5.4.1-0.2
2023-10-07 19:07:32 install libmd0:armhf <none> 1.0.4-2
2023-10-07 19:07:32 status half-installed libmd0:armhf 1.0.4-2
2023-10-07 19:07:32 status unpacked libmd0:armhf 1.0.4-2
2023-10-07 19:07:32 install libmount1:armhf <none> 2.38.1-5+b1
2023-10-07 19:07:32 status half-installed libmount1:armhf 2.38.1-5+b1
2023-10-07 19:07:32 status unpacked libmount1:armhf 2.38.1-5+b1
2023-10-07 19:07:32 install libnettle8:armhf <none> 3.8.1-2
2023-10-07 19:07:32 status half-installed libnettle8:armhf 3.8.1-2
2023-10-07 19:07:33 status unpacked libnettle8:armhf 3.8.1-2
2023-10-07 19:07:33 install libp11-kit0:armhf <none> 0.24.1-2
2023-10-07 19:07:33 status half-installed libp11-kit0:armhf 0.24.1-2
2023-10-07 19:07:33 status unpacked libp11-kit0:armhf 0.24.1-2
2023-10-07 19:07:33 install libpam-modules:armhf <none> 1.5.2-6+deb12u1
2023-10-07 19:07:33 status half-installed libpam-modules:armhf 1.5.2-6+deb12u1
2023-10-07 19:07:33 status unpacked libpam-modules:armhf 1.5.2-6+deb12u1
2023-10-07 19:07:33 install libpam-modules-bin:armhf <none> 1.5.2-6+deb12u1
2023-10-07 19:07:33 status half-installed libpam-modules-bin:armhf 1.5.2-6+deb12u1
2023-10-07 19:07:33 status unpacked libpam-modules-bin:armhf 1.5.2-6+deb12u1
2023-10-07 19:07:33 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2023-10-07 19:07:33 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2023-10-07 19:07:33 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2023-10-07 19:07:33 install libpam0g:armhf <none> 1.5.2-6+deb12u1
2023-10-07 19:07:33 status half-installed libpam0g:armhf 1.5.2-6+deb12u1
2023-10-07 19:07:33 status unpacked libpam0g:armhf 1.5.2-6+deb12u1
2023-10-07 19:07:33 install libpcre2-8-0:armhf <none> 10.42-1
2023-10-07 19:07:33 status half-installed libpcre2-8-0:armhf 10.42-1
2023-10-07 19:07:33 status unpacked libpcre2-8-0:armhf 10.42-1
2023-10-07 19:07:33 install libseccomp2:armhf <none> 2.5.4-1+b3
